,Team,Conf R/GP,Conf RA/GP,Conf R/IP,Conf RA/IP,Conf ATT,Conf DEF,ucsd_xruns,x_runs
0,Cal Bap,6.178489703,6.137299771,0.6864988558,0.6819221968,1.000392196,1.01101209,8.22,6.82
1,Cal Poly,7.214723926,5.042944785,0.8016359918,0.5603271984,1.168174402,0.8307363723,6.76,7.8
2,Bakersfield,4.270509978,6.086474501,0.4745011086,0.6762749446,0.6914610301,1.002639522,8.15,4.67
3,Fullerton,6.0,5.823529412,0.6666666667,0.6470588235,0.9714919769,0.9593239473,7.8,6.51
4,CSUN,6.236363636,7.690909091,0.6929292929,0.8545454545,1.009762873,1.266941874,10.3,6.8
5,LBSU,5.521472393,6.478527607,0.6134969325,0.7198364008,0.8940110217,1.067223369,8.68,6.07
6,Sacramento State,5.2,5.04,0.5777777778,0.56,0.8419597133,0.8302512707,6.75,5.6
7,UCI,8.688391039,5.389002037,0.9653767821,0.5987780041,1.406783698,0.8877432121,7.22,9.07
8,UCR,4.115085537,8.020217729,0.4572317263,0.8911353033,0.6662954305,1.321189675,10.74,4.6
9,UCSD,7.302631579,6.039473684,0.8114035088,0.6710526316,1.182407998,0.9948969645,,
10,UCSB,6.986842105,4.990601504,0.7763157895,0.5545112782,1.131276842,0.8221137381,6.69,7.68
11,Utah Valley,6.400722022,6.173285199,0.7111913357,0.6859205776,1.036375015,1.016940056,8.27,6.95
12,Average,6.176067474,6.070451414,0.6862297193,0.6744946015,1.0,1.0,,
